category,dimension,median,mean,ci
male_at,valence,0.4795075196486485,-0.0054221051530748575,0.0201292913789964
male_at,arousal,-0.07933120838916835,0.003032028172095932,0.020099456265539984
male_at,dominance,0.1653847039979487,-0.00033209929991897397,0.01997587183095531
female_at,valence,0.480276845361392,0.0009374684725016648,0.020127867254980624
female_at,arousal,-0.10786493821540219,-0.0060387724733949695,0.02018298900931174
female_at,dominance,0.15990401606510576,-0.0018650823532129876,0.02019923263761488
male_xr,valence,0.33674791749245275,0.0033794990669420836,0.02555084637197487
male_xr,arousal,0.22613879789868296,-0.015533685892436666,0.025783850384330204
male_xr,dominance,-0.046300203116215174,0.004228190375532614,0.02570241285454689
female_xr,valence,0.3308956387045959,-0.0025844329204223106,0.02558522586860601
female_xr,arousal,0.26803151767481026,0.013890033079098134,0.025510804752731674
female_xr,dominance,-0.03398191687608527,0.007115605045996204,0.025707107739180952
male_or_obj,valence,0.5488547196949943,0.010849232803493532,0.04653392355083051
male_or_obj,arousal,0.03671794641602417,-0.013336372091998519,0.04682876484202924
male_or_obj,dominance,0.2702981246572168,0.00793973427329834,0.04646266694499963
female_or_obj,valence,0.5473090419800675,0.008906018758615204,0.04639697278003627
female_or_obj,arousal,0.04385891949164776,-0.0004702388576916614,0.046570087817367115
female_or_obj,dominance,0.27496985269070556,-0.009174477678338745,0.04540843962334803
male_or_subj,valence,0.5183453422644844,-0.01834383170691625,0.04677393029323873
male_or_subj,arousal,-0.10701571741422518,-0.008759274387927892,0.0463436305306377
male_or_subj,dominance,0.2170731864341364,0.026752015968345144,0.045619441114130875
female_or_subj,valence,0.5409203822834239,0.025879159041947666,0.04399219550742666
female_or_subj,arousal,0.21750962116930406,0.02679795449479935,0.043949267178980886
female_or_subj,dominance,0.2581701786626274,0.007261579073379324,0.04373336458627603
